archetype,mean_win_rate,min_p_value,significant_trials,trials
anti_repeat,0.3516666666666667,0.07128227214520448,0,15
cyclic,0.624,8.193943719010638e-27,15,15
random,0.3373333333333333,0.13336817886009242,0,15
rock_biased,0.4043333333333334,0.00013496142718600877,10,15
win_stay_lose_shift,0.38833333333333336,0.0017384892222689363,7,15
